symbol,stock_code
364D140324,TYC24B
MCON,MCORAY
GARWAOFFS,GARSHI
SRHHYPOLTD,SREERA
PSUBNKIETF,ICIPSU
SRHHLINDST,SRERH
FORTIS,FORHEA
VELS,VELFIL
ALPHAGEO,ALPHAG
SGBMAR31IV,SGBT63
GSLSU,GLOSUR
WEBELSOLAR,WEBENE
TGBHOTELS,TGBBAN
IBP,IBP
QFIL,QUAFOI
CHEMBOND,CHECH
ANKURDRUGS,MRIPHA
SANCO,SANCIN
HILTON,HILMET
BINANICEM,BINCEM
FTCSF3YGRO,FRATE2
FTCSF5YGRO,FRATE4
FTCSF5YDIV,FRATE3
INSECTICID,INSEC
91D230623,TQF23D
MCDHOLDING,MCHOLD
KMSUGAR,KMSUG
182D220923,THI23C
364D220324,TYC24C
JSWDULUX,AKZNOB
NAVINFLUOR,NAVFLU
96ICCL25,INHN20
GUJAPOLLO,GUJAPO
965IHFL25,INHN21
925IBHFL25,INHN22
GOACARBON,GOACAR
925IHL25,INHN23
965IBHFL25,INHN24
990IBHFL26,INHN27
KALINDEE,KALRAI
